id1	id2	id3	id4	id5	id6	id7	id8	id9	id10	id11	id12	id13	id14	id15	id16	id17	id18	id19	id20	id21	id22	id23	id24	id25	id26	id27	id28	id29	id30	id31	id32	id33	id34	id35	id36	id37	id38
0	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1
1	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0
1	0	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1
0	1	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0	1	0	0
1	1	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0
0	0	1	1	0	1	0	1	0	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1
1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	1	1	1	0	0	1	1
1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0
0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1
0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0
0	1	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	1
0	1	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0
